ALVO,LATITUDE,LONGITUDE,lat_dest,lon_dest,periodo,DATA_HORA
GARDENIA,-12.2655194444444,-38.9539888888889,-12.269947737737326,-38.95318980783236,2026-03-06 22:04:00,2026-03-06T22:04:49
GARDENIA,-12.1470583333333,-38.9911083333333,-12.146666390430743,-38.99569041318225,2026-03-07 13:43:00,2026-03-07T13:43:15
GARDENIA,-12.1470583333333,-38.9911083333333,-12.149306608861995,-38.995091728265415,2026-03-09 11:21:00,2026-03-09T11:21:43
GARDENIA,-12.2655194444444,-38.9539888888889,-12.266300235029524,-38.95852064002735,2026-03-10 18:59:00,2026-03-10T18:59:40
GARDENIA,-12.2655194444444,-38.9539888888889,-12.269947737737326,-38.95318980783236,2026-03-15 16:32:00,2026-03-15T16:32:11
GARDENIA,-12.2655194444444,-38.9539888888889,-12.269947737737326,-38.95318980783236,2026-03-15 16:43:00,2026-03-15T16:43:56
GARDENIA,-12.2655194444444,-38.9539888888889,-12.262629058008349,-38.950463861378346,2026-03-17 15:44:00,2026-03-17T15:44:37
GARDENIA,-12.2655194444444,-38.9539888888889,-12.262629058008349,-38.950463861378346,2026-03-17 16:57:00,2026-03-17T16:57:16
GARDENIA,-12.2655194444444,-38.9539888888889,-12.262629058008349,-38.950463861378346,2026-03-17 16:57:00,2026-03-17T16:57:32
GARDENIA,-12.2655194444444,-38.9539888888889,-12.262629058008349,-38.950463861378346,2026-03-17 16:57:00,2026-03-17T16:57:58
GARDENIA,-12.1470583333333,-38.9911083333333,-12.149306608861995,-38.995091728265415,2026-03-28 15:07:00,2026-03-28T15:07:31
GARDENIA,-12.1799111111111,-38.9664888888889,-12.182159386560388,-38.9704727762477,2026-03-30 12:58:00,2026-03-30T12:58:22
GARDENIA,-12.1470583333333,-38.9911083333333,-12.149306608861995,-38.995091728265415,2026-03-31 15:25:00,2026-03-31T15:25:05
GARDENIA,-12.1470583333333,-38.9911083333333,-12.149306608861995,-38.995091728265415,2026-03-31 16:35:00,2026-03-31T16:35:41
GARDENIA,-12.2606111111111,-38.9436944444444,-12.262859386365248,-38.947679547487084,2026-03-31 19:35:00,2026-03-31T19:35:44
GARDENIA,-12.2655194444444,-38.9539888888889,-12.262629058008349,-38.950463861378346,2026-04-01 17:14:00,2026-04-01T17:14:31
GARDENIA,-12.2606111111111,-38.9436944444444,-12.257720724684338,-38.94016948255502,2026-04-01 18:55:00,2026-04-01T18:55:57
GARDENIA,-11.3036111111111,-41.8386944444444,-11.30072072648907,-41.83518173920285,2026-04-02 23:23:00,2026-04-02T23:23:03
GARDENIA,-11.3054722222222,-41.8664722222222,-11.306253015799662,-41.861956288252,2026-04-06 11:10:00,2026-04-06T11:10:53
GARDENIA,-11.5476305555556,-41.1727833333333,-11.543736369759339,-41.17507805443033,2026-04-06 14:16:00,2026-04-06T14:16:54
GARDENIA,-12.2655194444444,-38.9539888888889,-12.269947737737326,-38.95318980783236,2026-04-08 10:53:00,2026-04-08T10:53:46
GARDENIA,-12.2606111111111,-38.9436944444444,-12.265039404404504,-lon_dest_SKIP
